v-sweep,i(Vmeas)
0.00E+00,3.84E-06
1.00E-02,3.84E-06
2.00E-02,3.84E-06
3.00E-02,3.84E-06
4.00E-02,3.84E-06
5.00E-02,3.84E-06
6.00E-02,3.84E-06
7.00E-02,3.84E-06
8.00E-02,3.84E-06
9.00E-02,3.84E-06
1.00E-01,3.84E-06
1.10E-01,3.84E-06
1.20E-01,3.84E-06
1.30E-01,3.84E-06
1.40E-01,3.84E-06
1.50E-01,3.84E-06
1.60E-01,3.84E-06
1.70E-01,3.84E-06
1.80E-01,3.84E-06
1.90E-01,3.84E-06
2.00E-01,3.84E-06
2.10E-01,3.84E-06
2.20E-01,3.84E-06
2.30E-01,3.84E-06
2.40E-01,3.84E-06
2.50E-01,3.84E-06
2.60E-01,3.84E-06
2.70E-01,3.84E-06
2.80E-01,3.84E-06
2.90E-01,3.84E-06
3.00E-01,3.84E-06
3.10E-01,3.84E-06
3.20E-01,3.84E-06
3.30E-01,3.84E-06
3.40E-01,3.84E-06
3.50E-01,3.84E-06
3.60E-01,3.84E-06
3.70E-01,3.84E-06
3.80E-01,3.84E-06
3.90E-01,3.84E-06
4.00E-01,3.84E-06
4.10E-01,3.84E-06
4.20E-01,3.84E-06
4.30E-01,3.84E-06
4.40E-01,3.83E-06
4.50E-01,3.83E-06
4.60E-01,3.83E-06
4.70E-01,3.83E-06
4.80E-01,3.83E-06
4.90E-01,3.83E-06
5.00E-01,3.83E-06
5.10E-01,3.83E-06
5.20E-01,3.83E-06
5.30E-01,3.83E-06
5.40E-01,3.83E-06
5.50E-01,3.83E-06
5.60E-01,3.83E-06
5.70E-01,3.83E-06
5.80E-01,3.83E-06
5.90E-01,3.83E-06
6.00E-01,3.83E-06
6.10E-01,3.83E-06
6.20E-01,3.83E-06
6.30E-01,3.83E-06
6.40E-01,3.83E-06
6.50E-01,3.83E-06
6.60E-01,3.83E-06
6.70E-01,3.83E-06
6.80E-01,3.83E-06
6.90E-01,3.83E-06
7.00E-01,3.83E-06
7.10E-01,3.83E-06
7.20E-01,3.83E-06
7.30E-01,3.83E-06
7.40E-01,3.83E-06
7.50E-01,3.83E-06
7.60E-01,3.83E-06
7.70E-01,3.83E-06
7.80E-01,3.83E-06
7.90E-01,3.83E-06
8.00E-01,3.83E-06
8.10E-01,3.83E-06
8.20E-01,3.83E-06
8.30E-01,3.83E-06
8.40E-01,3.83E-06
8.50E-01,3.83E-06
8.60E-01,3.83E-06
8.70E-01,3.83E-06
8.80E-01,3.83E-06
8.90E-01,3.83E-06
9.00E-01,3.83E-06
9.10E-01,3.83E-06
9.20E-01,3.83E-06
9.30E-01,3.83E-06
9.40E-01,3.83E-06
9.50E-01,3.83E-06
9.60E-01,3.83E-06
9.70E-01,3.83E-06
9.80E-01,3.83E-06
9.90E-01,3.83E-06
1.00E+00,3.83E-06
1.01E+00,3.83E-06
1.02E+00,3.83E-06
1.03E+00,3.83E-06
1.04E+00,3.83E-06
1.05E+00,3.83E-06
1.06E+00,3.83E-06
1.07E+00,3.83E-06
1.08E+00,3.83E-06
1.09E+00,3.83E-06
1.10E+00,3.83E-06
1.11E+00,3.83E-06
1.12E+00,3.83E-06
1.13E+00,3.83E-06
1.14E+00,3.82E-06
1.15E+00,3.82E-06
1.16E+00,3.82E-06
1.17E+00,3.82E-06
1.18E+00,3.82E-06
1.19E+00,3.82E-06
1.20E+00,3.82E-06
1.21E+00,3.82E-06
1.22E+00,3.82E-06
1.23E+00,3.82E-06
1.24E+00,3.82E-06
1.25E+00,3.82E-06
1.26E+00,3.82E-06
1.27E+00,3.82E-06
1.28E+00,3.82E-06
1.29E+00,3.82E-06
1.30E+00,3.82E-06
1.31E+00,3.82E-06
1.32E+00,3.82E-06
1.33E+00,3.82E-06
1.34E+00,3.82E-06
1.35E+00,3.82E-06
1.36E+00,3.82E-06
1.37E+00,3.82E-06
1.38E+00,3.82E-06
1.39E+00,3.82E-06
1.40E+00,3.82E-06
1.41E+00,3.82E-06
1.42E+00,3.81E-06
1.43E+00,3.81E-06
1.44E+00,3.81E-06
1.45E+00,3.81E-06
1.46E+00,3.81E-06
1.47E+00,3.81E-06
1.48E+00,3.81E-06
1.49E+00,3.81E-06
1.50E+00,3.81E-06
1.51E+00,3.80E-06
1.52E+00,3.80E-06
1.53E+00,3.80E-06
1.54E+00,3.79E-06
1.55E+00,3.79E-06
1.56E+00,3.78E-06
1.57E+00,3.78E-06
1.58E+00,3.77E-06
1.59E+00,3.75E-06
1.60E+00,3.74E-06
1.61E+00,3.71E-06
1.62E+00,3.68E-06
1.63E+00,3.64E-06
1.64E+00,3.59E-06
1.65E+00,3.52E-06
1.66E+00,3.44E-06
1.67E+00,3.34E-06
1.68E+00,3.22E-06
1.69E+00,3.08E-06
1.70E+00,2.92E-06
1.71E+00,2.73E-06
1.72E+00,2.53E-06
1.73E+00,2.30E-06
1.74E+00,2.05E-06
1.75E+00,1.77E-06
1.76E+00,1.47E-06
1.77E+00,1.14E-06
1.78E+00,7.86E-07
1.79E+00,4.06E-07
1.80E+00,0.00E+00
